Betsy Head Field House,Livonia Ave between Hopkinson & Amboy streets,Aerobics ,Wednesday,9:00 a.m.,120min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Betsy Head Field House,Livonia Ave between Hopkinson & Amboy streets,Aerobics ,Friday,9:00 a.m.,120min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Betsy Head Field House,Livonia Ave between Hopkinson & Amboy streets,Aerobics ,Saturday,9:00 a.m.,120min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Salem Missionary Baptist Church,305 E 21st St.,Aerobics ,Saturday,10:00 a.m.,60min,10010,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Van Dyke II Senior Center,430 Dumont Avenue,Aerobics ,Tuesday,11:00 a.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Van Dyke II Senior Center,430 Dumont Avenue,Aerobics ,Wednesday,11:00 a.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Van Dyke II Senior Center,430 Dumont Avenue,Aerobics ,Thursday,11:00 a.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Van Dyke II Senior Center,430 Dumont Avenue,Aerobics ,Friday,11:00 a.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Ingersoll Community Center,177 Myrtle Avenue,Athletic Conditioning ,Saturday,10:30 a.m.,60min,11201,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
CHI Health Center,2882 W 15th St,Beginner Strength Training ,Thursday,6:00 p.m.,60min,11224,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brooklyn Public Library - New Utrecht,"1743 86th St, Brooklyn, NY",Bodyweight Training Fundamentals ,Saturday,11:00 a.m.,60min,11214,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Glenwood Community Center,5816 Farragut Rd,Cardio Aerobics ,Tuesday,8:00 p.m.,60min,11234,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brownsville Neighborhood Health Action Center,259 Bristol Street,Cardio Dance Party ,Tuesday,7:00 p.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Atlantic Terminal Community Center,501 Carlton Avenue,Cardio Kickboxing ,Monday,7:00 p.m.,60min,11238,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Breukelen Community Center,715 East 105th Street,Cardio Sculpt Aerobics ,Tuesday,8:00 p.m.,60min,11236,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Breukelen Community Center,715 East 105th Street,Cardio Sculpt Aerobics ,Thursday,8:00 p.m.,60min,11236,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Atlantic Terminal Community Center,501 Carlton Avenue,Caribbean World Dance ,Thursday,7:30 p.m.,60min,11238,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Abe Stark Senior Center   ,103-15 Farragut Rd.  ,Chair Aerobics ,Friday,10:30 a.m.,30min,11236,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Trinity Lutheran Church,"411 46th St,",Dance Aerobics ,Monday,6:00 p.m.,60min,11220,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Life-John Coker ELC,1375 Bushwick Avenue,Dance Fitness ,Monday,6:30 p.m.,60min,11207,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Breukelen Community Center,715 East 105th Street,Elite Athletic Boot Camp ,Saturday,10:00 a.m.,60min,11236,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brooklyn Public Library - Highlawn,1664 W. 13th St. at Kings Highway,Feldenkrais ,Monday,11:30 a.m.,60min,11223,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
YWCA of Brooklyn,30 Third Avenue,Fitness Fusion ,Saturday,11:00 a.m.,60min,11217,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brownsville Recreation Center,1555 Linden Boulevard,Functional Fitness ,Wednesday,9:00 a.m.,150min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
ParCare Community Health Network,445 Park Avenue,Get Fit ,Thursday,6:30 p.m.,60min,10022,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brownsville Recreation Center,1555 Linden Boulevard,High Intensity Low Impact Aerobics ,Monday,7:00 p.m.,120min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Kings County Hospital,Clarkson Ave & New York Ave.,Latin Cardio ,Tuesday,5:15 p.m.,60min,11226,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Rapha,78 Saratoga Avenue,Love Lyfe Fit ,Wednesday,6:30 p.m.,60min,11233,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brooklyn Public Library - Clinton Hill,380 Washington Ave,Low Impact Cardio Sculpt ,Saturday,10:00 a.m.,60min,11238,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
McCarren Play Center,776 Lorimer Street,Restorative Yoga ,Saturday,9:05 a.m.,60min,11222,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Red Hook Recreation Center,155 Bay Street,Shape Up NYC:Full Body Cardio Sculpt ,Saturday,10:00 a.m.,60min,10301,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Kingsbrook Jewish Medical Center,585 Schenectady Ave.,Shape Up NYC:Moving for Wellness; Mind and Body ,Thursday,6:00 p.m.,60min,11203,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Cypress Hills Community Center,475 Fountain Ave,Soca Fitness ,Friday,6:30 p.m.,60min,11208,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
McCarren Play Center,776 Lorimer Street,Spinning w/Michelle ,Thursday,7:00 p.m.,60min,11222,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brownsville Recreation Center,1555 Linden Boulevard,Step Aerobics ,Wednesday,7:00 p.m.,120min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Roosevelt II Community Center,400 Hart Street,Strength and Endurance ,Wednesday,6:00 p.m.,60min,11206,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Marine Park,"SHORE PKWY., AVENUE U, FILMORE AVE. BET. BRIGHAM ST., GERRITSEN AVE., AND FLATBUSH AVE. (Brooklyn)",Stretch & Walk ,Monday,9:00 a.m.,90min,11229,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Marine Park,"SHORE PKWY., AVENUE U, FILMORE AVE. BET. BRIGHAM ST., GERRITSEN AVE., AND FLATBUSH AVE. (Brooklyn)",Stretch & Walk ,Friday,9:00 a.m.,90min,11229,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
McCarren Play Center,776 Lorimer Street,Vinyasa Flow ,Tuesday,7:30 p.m.,60min,11222,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brownsville Recreation Center,1555 Linden Boulevard,Vinyasa Yoga ,Thursday,7:00 p.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Atlantic Terminal Community Center,501 Carlton Avenue,Yoga ,Monday,8:00 p.m.,60min,11238,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Atlantic Terminal Community Center,501 Carlton Avenue,Yoga ,Wednesday,8:00 p.m.,60min,11238,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
St. Andrew's Catholic Church,6713 Ridge Blvd.,Yoga ,Tuesday,6:30 p.m.,60min,11220,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Bedford Stuyvesant Family Health Center,1456 Fulton Street,Zumba ,Saturday,10:00 a.m.,60min,11216,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Brooklyn Public Library - Eastern Parkway,1044 Eastern Parkway,Zumba ,Thursday,6:00 p.m.,60min,11213,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Industry City Athletic Club,237 36th St,Zumba ,Monday,6:00 p.m.,60min,11232,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Kings County Hospital,Clarkson Ave & New York Ave.,Zumba ,Wednesday,5:15 p.m.,60min,11226,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
McCarren Play Center,776 Lorimer Street,Zumba ,Saturday,12:00 p.m.,60min,11222,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Opus Arise Beacon,985 Rockaway Ave,Zumba ,Saturday,10:30 a.m.,60min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Our Lady of Perpetual Help Notre Dame Hall,558 59th St,Zumba ,Wednesday,6:00 p.m.,60min,07093,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
YWCA of Brooklyn,30 Third Avenue,Zumba ,Saturday,12:00 p.m.,60min,11217,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Chelsea Recreation Center,430 West 25th Street,ABsolution ,Sunday,11:00 a.m.,45min,10001,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
